NUMERO_REGISTRO_PRODUTO,DATA_DE_CONSUMO,QUANTIDADE_SAIDA,PREDICAO_MEDIA_MOVEL,PREDICAO_DEEPAR,VALORES,DATA_REFERENCIA,CUSTO_MEDIA_MOVEL,CUSTO_DEEPAR
100020082,2021-07-31,15,13,-9999999999,1025,2021-08-02,13325,0
100020082,2021-08-31,9,18,-9999999999,1025,2021-08-02,18450,0
100020082,2021-09-30,29,13,-9999999999,1025,2021-08-02,13325,0
100020082,2021-10-31,19,17,-9999999999,1025,2021-08-02,17425,0
100020082,2021-11-30,16,19,20,1025,2021-08-02,19475,20500
100020082,2021-12-31,26,21,19,1025,2021-08-02,21525,19475
100020082,2022-01-31,5,20,17,1025,2021-08-02,20500,17425
100020086,2020-02-29,2,-9999999999,-9999999999,2809,2021-11-14,0,0
100020086,2020-03-31,0,-9999999999,-9999999999,2809,2021-11-14,0,0
100020086,2020-04-30,35,-9999999999,-9999999999,2809,2021-11-14,0,0
100020086,2020-05-31,12,12,-9999999999,2809,2021-11-14,33708,0
100020086,2020-06-30,14,15,-9999999999,2809,2021-11-14,42135,0
100020086,2020-07-31,30,20,-9999999999,2809,2021-11-14,56180,0
100020086,2020-08-31,12,18,-9999999999,2809,2021-11-14,50562,0
100020086,2020-09-30,14,18,-9999999999,2809,2021-11-14,50562,0
100020086,2020-10-31,29,18,-9999999999,2809,2021-11-14,50562,0
100020086,2020-11-30,25,18,-9999999999,2809,2021-11-14,50562,0
100020086,2020-12-31,18,22,-9999999999,2809,2021-11-14,61798,0
100020086,2021-01-31,16,24,-9999999999,2809,2021-11-14,67416,0
100020086,2021-02-28,15,19,-9999999999,2809,2021-11-14,53371,0
100020086,2021-03-31,27,16,-9999999999,2809,2021-11-14,44944,0
100020086,2021-04-30,12,19,-9999999999,2809,2021-11-14,53371,0
100020086,2021-05-31,53,18,-9999999999,2809,2021-11-14,50562,0
100020086,2021-06-30,16,30,-9999999999,2809,2021-11-14,84270,0
100020086,2021-07-31,39,27,-9999999999,2809,2021-11-14,75843,0
100020086,2021-08-31,31,36,-9999999999,2809,2021-11-14,101124,0
100020086,2021-09-30,21,28,-9999999999,2809,2021-11-14,78652,0
100020086,2021-10-31,1,30,-9999999999,2809,2021-11-14,84270,0
100020086,2021-11-30,34,17,12,2809,2021-11-14,47753,33708
100020086,2021-12-31,23,18,14,2809,2021-11-14,50562,39326
100020086,2022-01-31,28,19,17,2809,2021-11-14,53371,47753
100020095,2020-02-29,4,-9999999999,-9999999999,965,2021-10-16,0,0
100020095,2020-03-31,6,-9999999999,-9999999999,965,2021-10-16,0,0
100020095,2020-04-30,17,-9999999999,-9999999999,965,2021-10-16,0,0
100020095,2020-05-31,0,9,-9999999999,965,2021-10-16,8685,0
100020095,2020-06-30,5,7,-9999999999,965,2021-10-16,6755,0
100020095,2020-07-31,34,7,-9999999999,965,2021-10-16,6755,0
100020095,2020-08-31,0,13,-9999999999,965,2021-10-16,12545,0
100020095,2020-09-30,25,13,-9999999999,965,2021-10-16,12545,0
100020095,2020-10-31,36,19,-9999999999,965,2021-10-16,18335,0
100020095,2020-11-30,2,20,-9999999999,965,2021-10-16,19300,0
100020095,2020-12-31,2,21,-9999999999,965,2021-10-16,20265,0
100020095,2021-01-31,7,13,-9999999999,965,2021-10-16,12545,0
100020095,2021-02-28,5,3,-9999999999,965,2021-10-16,2895,0
100020095,2021-03-31,45,4,-9999999999,965,2021-10-16,3860,0
100020095,2021-04-30,6,19,-9999999999,965,2021-10-16,18335,0
100020095,2021-05-31,33,18,-9999999999,965,2021-10-16,17370,0
100020095,2021-06-30,7,28,-9999999999,965,2021-10-16,27020,0
100020095,2021-07-31,10,15,-9999999999,965,2021-10-16,14475,0
100020095,2021-08-31,23,16,-9999999999,965,2021-10-16,15440,0
100020095,2021-09-30,5,13,-9999999999,965,2021-10-16,12545,0
100020095,2021-10-31,33,12,-9999999999,965,2021-10-16,11580,0
100020095,2021-11-30,12,20,15,965,2021-10-16,19300,14475
100020095,2021-12-31,5,16,16,965,2021-10-16,15440,15440
100020095,2022-01-31,10,16,16,965,2021-10-16,15440,15440
100020097,2020-02-29,35,-9999999999,-9999999999,1671,2021-07-20,0,0
100020097,2020-03-31,41,-9999999999,-9999999999,1671,2021-07-20,0,0
100020097,2020-04-30,26,-9999999999,-9999999999,1671,2021-07-20,0,0
100020097,2020-05-31,50,34,-9999999999,1671,2021-07-20,56814,0
100020097,2020-06-30,28,39,-9999999999,1671,2021-07-20,65169,0
100020097,2020-07-31,27,34,-9999999999,1671,2021-07-20,56814,0
100020097,2020-08-31,24,35,-9999999999,1671,2021-07-20,58485,0
100020097,2020-09-30,23,26,-9999999999,1671,2021-07-20,43446,0
100020097,2020-10-31,17,24,-9999999999,1671,2021-07-20,40104,0
100020097,2020-11-30,24,21,-9999999999,1671,2021-07-20,35091,0
100020097,2020-12-31,20,21,-9999999999,1671,2021-07-20,35091,0
100020097,2021-01-31,16,20,-9999999999,1671,2021-07-20,33420,0
100020097,2021-02-28,5,20,-9999999999,1671,2021-07-20,33420,0
100020097,2021-03-31,20,13,-9999999999,1671,2021-07-20,21723,0
100020097,2021-04-30,3,13,-9999999999,1671,2021-07-20,21723,0
100020097,2021-05-31,27,9,-9999999999,1671,2021-07-20,15039,0
100020097,2021-06-30,8,16,-9999999999,1671,2021-07-20,26736,0
100020097,2021-07-31,11,12,-9999999999,1671,2021-07-20,20052,0
100020097,2021-08-31,8,15,-9999999999,1671,2021-07-20,25065,0
100020097,2021-09-30,29,9,-9999999999,1671,2021-07-20,15039,0
100020097,2021-10-31,0,16,-9999999999,1671,2021-07-20,26736,0
100020097,2021-11-30,24,12,27,1671,2021-07-20,20052,45117
100020097,2021-12-31,27,17,28,1671,2021-07-20,28407,46788
100020097,2022-01-31,0,17,26,1671,2021-07-20,28407,43446
100140009,2020-02-29,8,-9999999999,-9999999999,2307,2021-11-25,0,0
100140009,2020-03-31,13,-9999999999,-9999999999,2307,2021-11-25,0,0
100140009,2020-04-30,17,-9999999999,-9999999999,2307,2021-11-25,0,0
100140009,2020-05-31,8,12,-9999999999,2307,2021-11-25,27684,0
100140009,2020-06-30,0,12,-9999999999,2307,2021-11-25,27684,0
100140009,2020-07-31,46,8,-9999999999,2307,2021-11-25,18456,0
100140009,2020-08-31,48,18,-9999999999,2307,2021-11-25,41526,0
100140009,2020-09-30,23,31,-9999999999,2307,2021-11-25,71517,0
100140009,2020-10-31,14,39,-9999999999,2307,2021-11-25,89973,0
100140009,2020-11-30,1,28,-9999999999,2307,2021-11-25,64596,0
100140009,2020-12-31,5,12,-9999999999,2307,2021-11-25,27684,0
100140009,2021-01-31,12,6,-9999999999,2307,2021-11-25,13842,0
100140009,2021-02-28,49,6,-9999999999,2307,2021-11-25,13842,0
100140009,2021-03-31,20,22,-9999999999,2307,2021-11-25,50754,0
100140009,2021-04-30,1,27,-9999999999,2307,2021-11-25,62289,0
100140009,2021-05-31,13,23,-9999999999,2307,2021-11-25,53061,0
100140009,2021-06-30,12,11,-9999999999,2307,2021-11-25,25377,0
100140009,2021-07-31,19,8,-9999999999,2307,2021-11-25,18456,0
100140009,2021-08-31,15,14,-9999999999,2307,2021-11-25,32298,0
100140009,2021-09-30,6,15,-9999999999,2307,2021-11-25,34605,0
100140009,2021-10-31,45,13,-9999999999,2307,2021-11-25,29991,0
100140009,2021-11-30,18,22,17,2307,2021-11-25,50754,39219
100140009,2021-12-31,15,23,18,2307,2021-11-25,53061,41526
100140009,2022-01-31,6,26,18,2307,2021-11-25,59982,41526
100140016,2020-02-29,15,-9999999999,-9999999999,2052,2021-10-24,0,0
100140016,2020-03-31,24,-9999999999,-9999999999,2052,2021-10-24,0,0
100140016,2020-04-30,24,-9999999999,-9999999999,2052,2021-10-24,0,0
100140016,2020-05-31,53,21,-9999999999,2052,2021-10-24,43092,0
100140016,2020-06-30,11,33,-9999999999,2052,2021-10-24,67716,0
100140016,2020-07-31,6,29,-9999999999,2052,2021-10-24,59508,0
100140016,2020-08-31,1,23,-9999999999,2052,2021-10-24,47196,0
100140016,2020-09-30,1,6,-9999999999,2052,2021-10-24,12312,0
100140016,2020-10-31,16,2,-9999999999,2052,2021-10-24,4104,0
100140016,2020-11-30,21,6,-9999999999,2052,2021-10-24,12312,0
100140016,2020-12-31,12,12,-9999999999,2052,2021-10-24,24624,0
100140016,2021-01-31,3,16,-9999999999,2052,2021-10-24,32832,0
100140016,2021-02-28,25,12,-9999999999,2052,2021-10-24,24624,0
100140016,2021-03-31,9,13,-9999999999,2052,2021-10-24,26676,0
100140016,2021-04-30,15,12,-9999999999,2052,2021-10-24,24624,0
100140016,2021-05-31,4,16,-9999999999,2052,2021-10-24,32832,0
100140016,2021-06-30,8,9,-9999999999,2052,2021-10-24,18468,0
100140016,2021-07-31,10,9,-9999999999,2052,2021-10-24,18468,0
100140016,2021-08-31,29,7,-9999999999,2052,2021-10-24,14364,0
100140016,2021-09-30,20,15,-9999999999,2052,2021-10-24,30780,0
100140016,2021-10-31,59,19,-9999999999,2052,2021-10-24,38988,0
100140016,2021-11-30,15,36,20,2052,2021-10-24,73872,41040
100140016,2021-12-31,3,31,21,2052,2021-10-24,63612,43092
100140016,2022-01-31,42,25,25,2052,2021-10-24,51300,51300
100140055,2020-02-29,8,-9999999999,-9999999999,714,2021-10-28,0,0
100140055,2020-03-31,9,-9999999999,-9999999999,714,2021-10-28,0,0
100140055,2020-04-30,10,-9999999999,-9999999999,714,2021-10-28,0,0
100140055,2020-05-31,23,9,-9999999999,714,2021-10-28,6426,0
100140055,2020-06-30,10,14,-9999999999,714,2021-10-28,9996,0
100140055,2020-07-31,37,14,-9999999999,714,2021-10-28,9996,0
100140055,2020-08-31,17,23,-9999999999,714,2021-10-28,16422,0
100140055,2020-09-30,11,21,-9999999999,714,2021-10-28,14994,0
100140055,2020-10-31,20,21,-9999999999,714,2021-10-28,14994,0
100140055,2020-11-30,38,16,-9999999999,714,2021-10-28,11424,0
100140055,2020-12-31,21,23,-9999999999,714,2021-10-28,16422,0
100140055,2021-01-31,17,26,-9999999999,714,2021-10-28,18564,0
100140055,2021-02-28,2,25,-9999999999,714,2021-10-28,17850,0
100140055,2021-03-31,0,13,-9999999999,714,2021-10-28,9282,0
100140055,2021-04-30,42,6,-9999999999,714,2021-10-28,4284,0
100140055,2021-05-31,18,14,-9999999999,714,2021-10-28,9996,0
100140055,2021-06-30,32,20,-9999999999,714,2021-10-28,14280,0
100140055,2021-07-31,10,30,-9999999999,714,2021-10-28,21420,0
100140055,2021-08-31,12,20,-9999999999,714,2021-10-28,14280,0
100140055,2021-09-30,3,18,-9999999999,714,2021-10-28,12852,0
100140055,2021-10-31,35,8,-9999999999,714,2021-10-28,5712,0
100140055,2021-11-30,21,16,16,714,2021-10-28,11424,11424
100140055,2021-12-31,13,19,15,714,2021-10-28,13566,10710
100140055,2022-01-31,6,23,15,714,2021-10-28,16422,10710
100140070,2020-02-29,21,-9999999999,-9999999999,1655,2021-09-14,0,0
100140070,2020-03-31,1,-9999999999,-9999999999,1655,2021-09-14,0,0
100140070,2020-04-30,8,-9999999999,-9999999999,1655,2021-09-14,0,0
100140070,2020-05-31,31,10,-9999999999,1655,2021-09-14,16550,0
100140070,2020-06-30,16,13,-9999999999,1655,2021-09-14,21515,0
100140070,2020-07-31,35,18,-9999999999,1655,2021-09-14,29790,0
100140070,2020-08-31,14,27,-9999999999,1655,2021-09-14,44685,0
100140070,2020-09-30,15,21,-9999999999,1655,2021-09-14,34755,0
100140070,2020-10-31,23,21,-9999999999,1655,2021-09-14,34755,0
100140070,2020-11-30,13,17,-9999999999,1655,2021-09-14,28135,0
100140070,2020-12-31,16,17,-9999999999,1655,2021-09-14,28135,0
100140070,2021-01-31,1,17,-9999999999,1655,2021-09-14,28135,0
100140070,2021-02-28,16,10,-9999999999,1655,2021-09-14,16550,0
100140070,2021-03-31,30,11,-9999999999,1655,2021-09-14,18205,0
100140070,2021-04-30,32,15,-9999999999,1655,2021-09-14,24825,0
100140070,2021-05-31,9,26,-9999999999,1655,2021-09-14,43030,0
100140070,2021-06-30,9,23,-9999999999,1655,2021-09-14,38065,0
100140070,2021-07-31,31,16,-9999999999,1655,2021-09-14,26480,0
100140070,2021-08-31,17,16,-9999999999,1655,2021-09-14,26480,0
100140070,2021-09-30,58,19,-9999999999,1655,2021-09-14,31445,0
100140070,2021-10-31,17,35,-9999999999,1655,2021-09-14,57925,0
100140070,2021-11-30,13,30,22,1655,2021-09-14,49650,36410
100140070,2021-12-31,2,29,18,1655,2021-09-14,47995,29790
100140070,2022-01-31,4,10,20,1655,2021-09-14,16550,33100
100200027,2020-02-29,53,-9999999999,-9999999999,4442,2021-07-08,0,0
100200027,2020-03-31,12,-9999999999,-9999999999,4442,2021-07-08,0,0
100200027,2020-04-30,16,-9999999999,-9999999999,4442,2021-07-08,0,0
100200027,2020-05-31,9,27,-9999999999,4442,2021-07-08,119934,0
100200027,2020-06-30,3,12,-9999999999,4442,2021-07-08,53304,0
100200027,2020-07-31,14,9,-9999999999,4442,2021-07-08,39978,0
100200027,2020-08-31,26,8,-9999999999,4442,2021-07-08,35536,0
100200027,2020-09-30,23,14,-9999999999,4442,2021-07-08,62188,0
100200027,2020-10-31,39,21,-9999999999,4442,2021-07-08,93282,0
100200027,2020-11-30,38,29,-9999999999,4442,2021-07-08,128818,0
100200027,2020-12-31,13,33,-9999999999,4442,2021-07-08,146586,0
100200027,2021-01-31,12,30,-9999999999,4442,2021-07-08,133260,0
100200027,2021-02-28,6,21,-9999999999,4442,2021-07-08,93282,0
100200027,2021-03-31,46,10,-9999999999,4442,2021-07-08,44420,0
100200027,2021-04-30,11,21,-9999999999,4442,2021-07-08,93282,0
100200027,2021-05-31,27,21,-9999999999,4442,2021-07-08,93282,0
100200027,2021-06-30,2,28,-9999999999,4442,2021-07-08,124376,0
100200027,2021-07-31,2,13,-9999999999,4442,2021-07-08,57746,0
100200027,2021-08-31,7,10,-9999999999,4442,2021-07-08,44420,0
100200027,2021-09-30,62,3,-9999999999,4442,2021-07-08,13326,0
100200027,2021-10-31,51,23,-9999999999,4442,2021-07-08,102166,0
100200027,2021-11-30,6,40,24,4442,2021-07-08,177680,106608
100200027,2021-12-31,9,39,19,4442,2021-07-08,173238,84398
100200027,2022-01-31,3,22,21,4442,2021-07-08,97724,93282
100200133,2020-02-29,7,-9999999999,-9999999999,1695,2021-08-07,0,0
100200133,2020-03-31,31,-9999999999,-9999999999,1695,2021-08-07,0,0
100200133,2020-04-30,17,-9999999999,-9999999999,1695,2021-08-07,0,0
100200133,2020-05-31,9,18,-9999999999,1695,2021-08-07,30510,0
100200133,2020-06-30,12,19,-9999999999,1695,2021-08-07,32205,0
100200133,2020-07-31,7,12,-9999999999,1695,2021-08-07,20340,0
100200133,2020-08-31,1,9,-9999999999,1695,2021-08-07,15255,0
100200133,2020-09-30,33,6,-9999999999,1695,2021-08-07,10170,0
100200133,2020-10-31,1,13,-9999999999,1695,2021-08-07,22035,0
100200133,2020-11-30,0,11,-9999999999,1695,2021-08-07,18645,0
100200133,2020-12-31,11,11,-9999999999,1695,2021-08-07,18645,0
100200133,2021-01-31,45,4,-9999999999,1695,2021-08-07,6780,0
100200133,2021-02-28,42,18,-9999999999,1695,2021-08-07,30510,0
100200133,2021-03-31,28,32,-9999999999,1695,2021-08-07,54240,0
100200133,2021-04-30,6,38,-9999999999,1695,2021-08-07,64410,0
100200133,2021-05-31,29,25,-9999999999,1695,2021-08-07,42375,0
100200133,2021-06-30,10,21,-9999999999,1695,2021-08-07,35595,0
100200133,2021-07-31,29,15,-9999999999,1695,2021-08-07,25425,0
100200133,2021-08-31,24,22,-9999999999,1695,2021-08-07,37290,0
100200133,2021-09-30,9,21,-9999999999,1695,2021-08-07,35595,0
100200133,2021-10-31,24,20,-9999999999,1695,2021-08-07,33900,0
100200133,2021-11-30,9,19,14,1695,2021-08-07,32205,23730
100200133,2021-12-31,15,14,15,1695,2021-08-07,23730,25425
100200133,2022-01-31,15,16,15,1695,2021-08-07,27120,25425
100230202,2020-02-29,18,-9999999999,-9999999999,3575,2021-09-03,0,0
100230202,2020-03-31,10,-9999999999,-9999999999,3575,2021-09-03,0,0
100230202,2020-04-30,15,-9999999999,-9999999999,3575,2021-09-03,0,0
100230202,2020-05-31,36,14,-9999999999,3575,2021-09-03,50050,0
100230202,2020-06-30,47,20,-9999999999,3575,2021-09-03,71500,0
100230202,2020-07-31,8,32,-9999999999,3575,2021-09-03,114400,0
100230202,2020-08-31,2,30,-9999999999,3575,2021-09-03,107250,0
100230202,2020-09-30,9,19,-9999999999,3575,2021-09-03,67925,0
100230202,2020-10-31,10,6,-9999999999,3575,2021-09-03,21450,0
100230202,2020-11-30,8,7,-9999999999,3575,2021-09-03,25025,0
100230202,2020-12-31,36,9,-9999999999,3575,2021-09-03,32175,0
100230202,2021-01-31,16,18,-9999999999,3575,2021-09-03,64350,0
100230202,2021-02-28,25,20,-9999999999,3575,2021-09-03,71500,0
100230202,2021-03-31,6,25,-9999999999,3575,2021-09-03,89375,0
100230202,2021-04-30,18,15,-9999999999,3575,2021-09-03,53625,0
100230202,2021-05-31,16,16,-9999999999,3575,2021-09-03,57200,0
100230202,2021-06-30,14,13,-9999999999,3575,2021-09-03,46475,0
100230202,2021-07-31,29,16,-9999999999,3575,2021-09-03,57200,0
100230202,2021-08-31,33,19,-9999999999,3575,2021-09-03,67925,0
100230202,2021-09-30,35,25,-9999999999,3575,2021-09-03,89375,0
100230202,2021-10-31,5,32,-9999999999,3575,2021-09-03,114400,0
100230202,2021-11-30,30,24,15,3575,2021-09-03,85800,53625
100230202,2021-12-31,23,23,14,3575,2021-09-03,82225,50050
100230202,2022-01-31,60,19,18,3575,2021-09-03,67925,64350
100230226,2020-02-29,0,-9999999999,-9999999999,3875,2021-11-07,0,0
100230226,2020-03-31,52,-9999999999,-9999999999,3875,2021-11-07,0,0
100230226,2020-04-30,23,-9999999999,-9999999999,3875,2021-11-07,0,0
100230226,2020-05-31,1,25,-9999999999,3875,2021-11-07,96875,0
100230226,2020-06-30,5,25,-9999999999,3875,2021-11-07,96875,0
100230226,2020-07-31,28,9,-9999999999,3875,2021-11-07,34875,0
100230226,2020-08-31,4,11,-9999999999,3875,2021-11-07,42625,0
100230226,2020-09-30,13,12,-9999999999,3875,2021-11-07,46500,0
100230226,2020-10-31,41,15,-9999999999,3875,2021-11-07,58125,0
100230226,2020-11-30,12,19,-9999999999,3875,2021-11-07,73625,0
100230226,2020-12-31,5,22,-9999999999,3875,2021-11-07,85250,0
100230226,2021-01-31,4,19,-9999999999,3875,2021-11-07,73625,0
100230226,2021-02-28,49,7,-9999999999,3875,2021-11-07,27125,0
100230226,2021-03-31,26,19,-9999999999,3875,2021-11-07,73625,0
100230226,2021-04-30,1,26,-9999999999,3875,2021-11-07,100750,0
100230226,2021-05-31,20,25,-9999999999,3875,2021-11-07,96875,0
100230226,2021-06-30,5,15,-9999999999,3875,2021-11-07,58125,0
100230226,2021-07-31,35,8,-9999999999,3875,2021-11-07,31000,0
100230226,2021-08-31,5,20,-9999999999,3875,2021-11-07,77500,0
100230226,2021-09-30,28,15,-9999999999,3875,2021-11-07,58125,0
100230226,2021-10-31,8,22,-9999999999,3875,2021-11-07,85250,0
100230226,2021-11-30,30,13,13,3875,2021-11-07,50375,50375
100230226,2021-12-31,6,22,17,3875,2021-11-07,85250,65875
100230226,2022-01-31,11,14,18,3875,2021-11-07,54250,69750
100230239,2020-02-29,3,-9999999999,-9999999999,311,2021-10-23,0,0
100230239,2020-03-31,29,-9999999999,-9999999999,311,2021-10-23,0,0
100230239,2020-04-30,0,-9999999999,-9999999999,311,2021-10-23,0,0
100230239,2020-05-31,13,10,-9999999999,311,2021-10-23,3110,0
100230239,2020-06-30,33,14,-9999999999,311,2021-10-23,4354,0
100230239,2020-07-31,20,15,-9999999999,311,2021-10-23,4665,0
100230239,2020-08-31,40,22,-9999999999,311,2021-10-23,6842,0
100230239,2020-09-30,0,31,-9999999999,311,2021-10-23,9641,0
100230239,2020-10-31,33,20,-9999999999,311,2021-10-23,6220,0
100230239,2020-11-30,56,24,-9999999999,311,2021-10-23,7464,0
100230239,2020-12-31,16,29,-9999999999,311,2021-10-23,9019,0
100230239,2021-01-31,6,35,-9999999999,311,2021-10-23,10885,0
100230239,2021-02-28,12,26,-9999999999,311,2021-10-23,8086,0
100230239,2021-03-31,23,11,-9999999999,311,2021-10-23,3421,0
100230239,2021-04-30,32,13,-9999999999,311,2021-10-23,4043,0
100230239,2021-05-31,4,22,-9999999999,311,2021-10-23,6842,0
100230239,2021-06-30,4,19,-9999999999,311,2021-10-23,5909,0
100230239,2021-07-31,22,13,-9999999999,311,2021-10-23,4043,0
100230239,2021-08-31,1,10,-9999999999,311,2021-10-23,3110,0
100230239,2021-09-30,1,9,-9999999999,311,2021-10-23,2799,0
100230239,2021-10-31,11,8,-9999999999,311,2021-10-23,2488,0
100230239,2021-11-30,8,4,11,311,2021-10-23,1244,3421
100230239,2021-12-31,27,6,15,311,2021-10-23,1866,4665
100230239,2022-01-31,4,15,18,311,2021-10-23,4665,5598
100230258,2020-02-29,45,-9999999999,-9999999999,1521,2021-09-12,0,0
100230258,2020-03-31,11,-9999999999,-9999999999,1521,2021-09-12,0,0
100230258,2020-04-30,13,-9999999999,-9999999999,1521,2021-09-12,0,0
100230258,2020-05-31,12,23,-9999999999,1521,2021-09-12,34983,0
100230258,2020-06-30,7,12,-9999999999,1521,2021-09-12,18252,0
100230258,2020-07-31,55,10,-9999999999,1521,2021-09-12,15210,0
100230258,2020-08-31,30,24,-9999999999,1521,2021-09-12,36504,0
100230258,2020-09-30,9,30,-9999999999,1521,2021-09-12,45630,0
100230258,2020-10-31,2,31,-9999999999,1521,2021-09-12,47151,0
100230258,2020-11-30,24,13,-9999999999,1521,2021-09-12,19773,0
100230258,2020-12-31,24,11,-9999999999,1521,2021-09-12,16731,0
100230258,2021-01-31,33,16,-9999999999,1521,2021-09-12,24336,0
100230258,2021-02-28,0,27,-9999999999,1521,2021-09-12,41067,0
100230258,2021-03-31,34,19,-9999999999,1521,2021-09-12,28899,0
100230258,2021-04-30,4,22,-9999999999,1521,2021-09-12,33462,0
100230258,2021-05-31,4,12,-9999999999,1521,2021-09-12,18252,0
100230258,2021-06-30,31,14,-9999999999,1521,2021-09-12,21294,0
100230258,2021-07-31,25,13,-9999999999,1521,2021-09-12,19773,0
100230258,2021-08-31,0,20,-9999999999,1521,2021-09-12,30420,0
100230258,2021-09-30,73,18,-9999999999,1521,2021-09-12,27378,0
100230258,2021-10-31,2,32,-9999999999,1521,2021-09-12,48672,0
100230258,2021-11-30,25,25,20,1521,2021-09-12,38025,30420
100230258,2021-12-31,39,33,18,1521,2021-09-12,50193,27378
