NUMERO_REGISTRO_PRODUTO;IDENTIFICADOR_DO_ITEM;NOME_PRODUTO;DATA_DE_PEDIDO_DO_ITEM;DATA_DE_ENTRADA_DO_ITEM;DATA_VENCIMENTO_REGISTRO;QUANTIDADE;CUSTO_DE_AQUISIÇÃO
120330280;25351353153;AAS PROTECT;;20/11/2006;01/09/2012;;
113000991;25351210265;AAS PROTECT;;25/06/2007;01/11/2021;;
183260387;25351412012;AAS PROTECT;;09/09/2019;01/11/2026;;
127480013;25351006692;ABACICLOVIR;;28/12/2000;01/12/2005;;
146820078;25351385248;ABBA;;25/03/2019;01/03/2029;;
105530180;25001004034;ABBOT EFEDRINA;;25/07/1988;01/07/2008;;
105530222;25000000473;ABBOTTRACURIUM;;29/04/1998;01/04/2008;;
106890153;25351141033;ABC;;24/10/2005;01/10/2025;;
136310004;25000011189;ABC PLUS;;09/02/2000;01/02/2005;;
144930020;25351031327;ABCALCIUM B12;;16/07/2001;01/07/2016;;
100630176;25000006469;ABCIXIMAB;;07/04/1999;01/04/2004;;
144930011;25351000184;ABCLER ABNAT;;07/06/2001;01/06/2026;;
144930012;25351000183;ABEDERIL;;21/06/2001;01/06/2011;;
144930008;25351029910;ABEDOSEC;;04/06/2001;01/05/2011;;
100890257;25351006432;ABELCET;;14/08/2001;01/05/2014;;
156260016;25351699304;ABELCET;;11/05/2009;01/05/2019;;
113001101;25351307110;ABELIA;;20/12/2010;01/12/2015;;
144930016;25351031336;ABEPOTEN;;27/06/2001;01/06/2011;;
144930010;25351029908;ABERALGINA;;04/06/2001;01/06/2026;;
144930001;25351019042;ABFOR GERIN;;19/12/2000;01/12/2005;;
144930051;25351120125;ABFOR GERIN;;26/06/2006;01/06/2016;;
144930004;25351029906;ABIDOR;;18/04/2001;01/04/2016;;
144930003;25351029909;ABIFLAN;;11/04/2001;01/04/2011;;
144930009;25351031330;ABIFLAN;;04/06/2001;01/06/2011;;
101800279;25351166429;ABILIFY;;11/04/2003;01/04/2018;;
115600144;25351208902;ABINESIL;;23/12/2003;01/12/2008;;
109740100;25000003578;ABLOK;;08/05/2000;01/05/2025;;
109740092;25000020927;ABLOK PLUS;;29/06/1999;01/06/2029;;
102480001;25991005967;ABOBORA D''ANTA;;31/10/1979;01/10/2004;;
110330046;25351006020;ABRENA;;22/07/2003;01/07/2008;;
103900192;25351567981;ABRETIA;;20/02/2017;01/02/2027;;
154230216;25351356211;ABRIFIT;;07/07/2014;01/07/2029;;
103900141;25351164045;ABRILAR;;12/05/2003;01/05/2028;;
101810283;25991006310;ABSTEN S;;28/06/1996;01/12/2014;;
105730270;25000002388;AC ACETIL+ASSOC;;02/07/1999;01/07/2004;;
110860049;25000028706;AC ASCORBICO+CARBONATO DE MAGNESIO+CARB DE CALCIO+ LACT. FERROSO;;12/09/2001;01/09/2006;;
102660049;25000022771;AC BENZOICO ASSOCIADO;;14/10/1997;01/11/2001;;
109740105;25000020921;AC. ACETIL SALICILICO + ASSOCIAÇÕES;;11/05/2000;01/05/2005;;
104650233;25000017804;AC. ACETILSALICILICO+ASSOCIAÇÕES;;18/02/2000;01/08/2004;;
100470344;25351011058;AC. ASCORBICO;;03/10/2001;01/10/2006;;
100020090;25000011586;AC. ASCORBICO + ASSOCIACÕES;;25/04/2000;01/04/2005;;
108580225;25001011490;AC. GLUTAMICO + ASSOCIAÇÕES;;25/04/2001;01/03/2006;;
104400021;25991009206;ACAFRAN;;23/03/2001;01/03/2004;;
104440106;25351019544;ACALKA;;07/02/2001;01/02/2006;;
106240231;25351070459;ACALMIL;;07/01/2005;01/01/2015;;
118190118;25351357322;ACALMIL;;07/05/2012;01/01/2015;;
118190216;25351963576;ACALMILFITO;;08/03/2021;01/03/2031;;
112130350;25992003435;ACARSAN;;11/08/1984;01/08/2018;;
101810616;25351718951;ACCERA;;06/06/2011;01/06/2016;;
183260032;25351697631;ACCERA;;13/04/2015;01/06/2016;;
116180065;25000041346;ACCOLATE;;03/07/2000;01/02/2013;;
102160087;25351059566;ACCUPRIL;;20/06/2002;01/11/2013;;
105730206;25991004182;ACCUVIT;;02/10/2002;01/03/2027;;
108580230;25351002584;ACEBROFILINA;;13/07/2001;01/07/2016;;
135690195;25351061495;ACEBROFILINA;;26/05/2004;01/05/2014;;
112130333;25351010425;ACEBROFILINA;;21/06/2004;01/06/2019;;
101810476;25351046975;ACEBROFILINA;;23/09/2004;01/09/2019;;
104650418;25351093385;ACEBROFILINA;;12/08/2005;01/08/2010;;
104971318;25351250180;ACEBROFILINA;;24/08/2005;01/08/2020;;
125680159;25351368763;ACEBROFILINA;;19/03/2007;01/03/2027;;
154230123;25351120208;ACEBROFILINA;;19/05/2008;01/05/2028;;
172870109;25351224091;ACEBROFILINA;;07/12/2010;01/08/2015;;
178170089;25351652091;ACEBROFILINA;;21/03/2011;01/08/2015;;
155840398;25351525180;ACEBROFILINA;;28/01/2013;01/08/2025;;
105730609;25351849309;ACEBROFILINA;;21/01/2019;01/06/2029;;
113050036;25001018522;ACECILICO;;23/09/1987;01/10/2003;;
113050002;25001018490;ACECILICO;;12/01/2001;01/10/2002;;
108580179;25000012377;ACECLOFENAC;;09/08/1999;01/08/2009;;
103940455;25000000507;ACECLOFENACO;;19/06/1998;01/06/2003;;
104971130;25000026052;ACECLOFENACO;;19/06/1998;01/06/2003;;
105730265;25000002386;ACECLOFENACO;;04/05/1999;01/05/2004;;
101800258;25000001258;ACECLOFENACO;;15/12/2000;01/11/2005;;
123520100;25351008197;ACECLOFENACO;;15/08/2002;01/08/2027;;
102350841;25351429903;ACECLOFENACO;;12/03/2007;01/03/2022;;
105830541;25351429196;ACECLOFENACO;;12/03/2007;01/03/2027;;
135690419;25351428095;ACECLOFENACO;;12/03/2007;01/03/2012;;
118190078;25351615903;ACECLOFENACO;;16/11/2009;01/11/2019;;
102351053;25351730441;ACECLOFENACO;;05/12/2011;01/12/2026;;
105830742;25351745914;ACECLOFENACO;;12/12/2011;01/12/2026;;
167730357;25351742066;ACECLOFENACO;;12/12/2011;01/12/2026;;
126750156;25351548450;ACECLOFENACO;;14/05/2012;01/05/2027;;
103920172;25351047703;ACECLOFENACO;;04/11/2013;01/11/2028;;
156510064;25351185488;ACECLOFENACO;;27/03/2017;01/03/2027;;
110330008;25000000698;ACECTIL;;01/02/2001;01/02/2006;;
125680235;25351011547;ACEDILAT;;10/09/2012;01/09/2022;;
126750290;25351307380;ACEFLOR;;31/07/2017;01/07/2027;;
105770005;25992021563;ACEMEDROX;;07/06/2001;01/05/2010;;
129160044;25351001393;ACEPONATO DE HIDROCORTISONA;;04/06/2001;01/05/2006;;
104400005;25992003403;ACERATUM;;21/02/2003;01/06/2025;;
104041922;25000002519;ACEROGRIP C;;06/02/1997;01/02/2007;;
100430134;25000015741;ACEROL;;23/10/2001;01/06/2004;;
110220006;25351024761;ACEROLITA;;11/04/2002;01/03/2007;;
104042002;25351295915;ACEROLUP C;;13/10/2009;01/12/2013;;
172870459;25351513379;ACEROLUP C;;06/02/2012;01/10/2014;;
155840387;25351542349;ACEROLUP C;;12/11/2012;01/10/2014;;
112780077;25351666271;ACERTALIX;;02/09/2019;01/09/2029;;
112780075;25351118802;ACERTANLO;;30/01/2017;01/01/2027;;
112780074;25351047692;ACERTIL;;13/01/2014;01/01/2029;;
164000001;25351407134;ACESYL;;05/03/2007;01/03/2027;;
102940115;25000019722;ACETAMIL;;29/06/2001;01/06/2011;;
115200017;25000014109;ACETAMOL;;09/08/1999;01/08/2014;;
113430031;25001005788;ACETAN;;01/11/1996;01/10/2006;;
100431245;25351368629;ACETATO DE ABIRATERONA;;25/06/2018;01/06/2028;;
108170063;25000018167;ACETATO DE ALFA DL TOCOFEROL;;05/06/2002;01/06/2007;;
104650316;25351029160;ACETATO DE CIPROTERONA;;29/01/2001;01/01/2006;;
143170001;25351014940;ACETATO DE CIPROTERONA;;03/09/2001;01/09/2006;;
104971386;25351416397;ACETATO DE CIPROTERONA;;10/08/2015;01/08/2025;;
106460069;25000027797;ACETATO DE CIPROTERONA + ETINILESTRADIOL;;30/08/1996;01/08/2001;;
100470566;25351518128;ACETATO DE CIPROTERONA + ETINILESTRADIOL;;26/10/2015;01/10/2020;;
155840400;25351703022;ACETATO DE CIPROTERONA+ETINILESTRADIOL;;03/05/2013;01/05/2028;;
155890004;25351527182;ACETATO DE CIPROTERONA+ETINILESTRADIOL;;08/07/2013;01/07/2028;;
177940029;25351056403;ACETATO DE CIPROTERONA+ETINILESTRADIOL;;09/05/2016;01/05/2026;;
126750408;25351576153;ACETATO DE CLORMADINONA + ETINILESTRADIOL;;31/01/2022;01/01/2032;;
167730674;25351578918;ACETATO DE CLORMADINONA + ETINILESTRADIOL;;31/01/2022;01/01/2032;;
105831005;25351578919;ACETATO DE CLORMADINONA + ETINILESTRADIOL;;21/02/2022;01/02/2032;;
113001134;25351812020;ACETATO DE CLORMADINONA+ETINILESTRADIOL;;26/11/2012;01/11/2017;;
101810637;25351789728;ACETATO DE CLORMADINONA+ETINILESTRADIOL;;18/02/2013;01/02/2018;;
183260041;25351697694;ACETATO DE CLORMADINONA+ETINILESTRADIOL;;20/04/2015;01/02/2018;;
101810534;25351438341;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;20/08/2007;01/08/2017;;
101810535;25351438431;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;03/09/2007;01/09/2017;;
183260226;25351096058;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;22/06/2015;01/08/2027;;
183260255;25351679847;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;22/06/2015;01/09/2027;;
125740026;25000055573;ACETATO DE DEXAMETASONA;;10/11/2000;01/11/2005;;
102270032;25000020905;ACETATO DE DEXAMETASONA;;26/10/2001;01/10/2006;;
125680126;25351045969;ACETATO DE DEXAMETASONA;;11/07/2005;01/07/2025;;
104971334;25351072733;ACETATO DE DEXAMETASONA;;15/05/2006;01/05/2026;;
102350848;25351486639;ACETATO DE DEXAMETASONA;;25/06/2007;01/06/2027;;
105830544;25351482857;ACETATO DE DEXAMETASONA;;25/06/2007;01/06/2027;;
135690424;25351485203;ACETATO DE DEXAMETASONA;;25/06/2007;01/06/2012;;
118190173;25351725563;ACETATO DE DEXAMETASONA;;14/03/2016;01/03/2026;;
105750050;25000054493;ACETATO DE DEXAMETASONA + VITAMINAS;;25/09/2000;01/09/2005;;
112330014;25000011195;ACETATO DE DEXAMETAZONA;;14/08/1996;01/08/2006;;
124510035;25000045356;ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO;;16/05/2002;01/05/2007;;
137950013;25000011472;ACETATO DE DL ALFA TOCOFERIL;;30/08/2002;01/09/2007;;
101750007;25000005716;ACETATO DE DL ALFA TOCOFERILA;;13/02/1998;01/02/2003;;
100930193;25000035176;ACETATO DE EPTIFIBATIDE;;05/02/1998;01/02/2003;;
100330033;25001024023;ACETATO DE GUANABENZO;;02/01/1990;01/01/2010;;
107150155;25004021124;ACETATO DE HIDROCORTISONA;;10/09/2001;01/12/2005;;
118610123;25351176205;ACETATO DE HIDROCORTISONA;;17/01/2003;01/01/2018;;
118610236;25351164076;ACETATO DE HIDROCORTISONA;;26/11/2004;01/11/2014;;
104971333;25351070308;ACETATO DE HIDROCORTISONA;;15/05/2006;01/05/2026;;
111240215;25000033541;ACETATO DE LEUPROLIDE;;14/06/1999;01/05/2004;;
100640055;25000009817;ACETATO DE MEDROXIPROGESTERONA;;03/09/1996;01/09/2001;;
100430623;25000003281;ACETATO DE MEDROXIPROGESTERONA;;17/03/1997;01/02/2002;;
105730243;25000040097;ACETATO DE MEDROXIPROGESTERONA;;14/10/1997;01/10/2002;;
104400012;25992005051;ACETATO DE MEDROXIPROGESTERONA;;19/06/2001;01/03/2004;;
104970001;25001012501;ACETATO DE MEDROXIPROGESTERONA;;17/08/2001;01/02/2013;;
101710087;25000016403;ACETATO DE MEDROXIPROGESTERONA];;24/09/1999;01/09/2004;;
120690014;25025006184;ACETATO DE MEGESTROL;;06/02/1997;01/02/2002;;
121170138;25351029658;ACETATO DE MEGESTROL;;27/11/2001;01/11/2006;;
122140058;25000013113;ACETATO DE MEGESTROL;;24/01/2003;01/01/2008;;
150820048;25351191462;ACETATO DE MEGESTROL;;13/12/2004;01/11/2006;;
102160073;25351027083;ACETATO DE NORETINDRONA + ETINILESTRADIOL;;20/09/2001;01/07/2006;;
102160077;25351011738;ACETATO DE NORETINDRONA + ETINILESTRADIOL/ FUMARATO FERROSO;;27/12/2001;01/12/2006;;
100850027;25992008702;ACETATO DE POTASSIO;;22/03/2002;01/11/2006;;
100230247;25351038534;ACETATO DE PREDNISOLONA;;26/03/2002;01/03/2017;;
154230190;25351735051;ACETATO DE PREDNISOLONA;;28/05/2012;01/05/2027;;
100681091;25351662812;ACETATO DE PREDNISOLONA;;21/10/2013;01/03/2027;;
102680084;25017016961;ACETATO DE RETINOL;;24/08/2001;01/03/2006;;
137950011;25000011302;ACETATO DE RETINOL;;12/07/2002;01/07/2007;;
135480052;25000008199;ACETATO DE RETINOL (50.000 UI);;31/12/1998;01/02/2002;;
123890062;25000014371;ACETATO DE RETINOL + ASSOCIADOS;;12/03/1999;01/03/2004;;
145330008;25351010569;ACETATO DE RETINOL + ASSOCIAÇÕES;;03/10/2002;01/09/2007;;
123890069;25000021111;ACETATO DE RETINOL + ASSOSSIACAO;;04/05/1999;01/05/2004;;
103920103;25000018424;ACETATO DE RETINOL + COLECALCIFEROL;;05/12/2000;01/12/2005;;
129820003;25000013501;ACETATO DE RETINOL E BETACAROTENO;;22/09/1999;01/09/2004;;
100850028;25992008703;ACETATO DE SODIO;;22/03/2002;01/11/2006;;
107040010;25000009705;ACETATO DE SODIO + ASSOCIAÇOES;;01/02/2000;01/01/2005;;
101620093;25991013871;ACETATO DE SÓDIO;;14/11/1979;01/10/2005;;
164000004;25351722910;ACETATO DE SÓDIO;;17/05/2010;01/05/2025;;
104670114;25000013382;ACETATO DE TOCOFEROL;;02/07/1999;01/07/2004;;
139020011;25000015596;ACETATO DE TOCOFEROL;;01/08/2002;01/07/2007;;
105730204;25991012168;ACETATO DE TOCOFEROL + ÁCIDO ASCÓRBICO + BETACAROTENO + SELÊNIO;;31/10/2001;01/10/2004;;
100850029;25992008704;ACETATO DE ZINCO B.BRAUN;;06/03/2002;01/11/2006;;
125740027;25351029920;ACETATO RETINOL + CLORIDRATO TIAMINA + ASSOCIAÇÕES;;11/06/2001;01/06/2006;;
101180136;25000006599;ACETAZOLAMIDA;;26/01/1998;01/01/2003;;
102350413;25000005067;ACETAZOLAMIDA;;03/09/1998;01/09/2003;;
109630046;25000038786;ACETAZONA;;09/08/2001;01/08/2026;;
107150069;25000004046;ACETICIL;;13/01/2000;01/05/2029;;
110860017;25000021196;ACETILASA;;21/01/1998;01/01/2003;;
100430761;25351026186;ACETILCISTEINA;;03/10/2001;01/10/2011;;
100430772;25351032353;ACETILCISTEINA;;17/01/2002;01/01/2027;;
100840164;25351037987;ACETILCISTEINA;;13/06/2002;01/06/2007;;
102350630;25351025919;ACETILCISTEINA;;26/01/2004;01/01/2029;;
105830286;25351026281;ACETILCISTEINA;;25/06/2004;01/06/2029;;
101810501;25351233614;ACETILCISTEINA;;12/09/2005;01/09/2015;;
155840519;25351663290;ACETILCISTEINA;;04/07/2016;01/07/2026;;
112130486;25351262622;ACETILCISTEINA;;23/01/2017;01/01/2022;;
105730648;25351856205;ACETILCISTEINA;;11/02/2019;01/01/2027;;
125680100;25351025540;ACETILCISTEÍNA;;21/11/2003;01/11/2028;;
102350631;25351025872;ACETILCISTEÍNA;;30/01/2004;01/01/2029;;
105830289;25351026277;ACETILCISTEÍNA;;27/07/2004;01/07/2029;;
135690264;25351264113;ACETILCISTEÍNA;;23/02/2005;01/02/2015;;
135690259;25351263528;ACETILCISTEÍNA;;23/03/2005;01/03/2015;;
125680127;25351043353;ACETILCISTEÍNA;;20/06/2005;01/06/2025;;
103940512;25351043170;ACETILCISTEÍNA;;19/08/2005;01/08/2010;;
155840044;25351372867;ACETILCISTEÍNA;;02/07/2007;01/07/2017;;
154230108;25351100546;ACETILCISTEÍNA;;03/09/2007;01/09/2027;;
167730211;25351644559;ACETILCISTEÍNA;;07/02/2011;01/02/2020;;
167730222;25351644568;ACETILCISTEÍNA;;07/02/2011;01/03/2020;;
109630036;25000015265;ACETILDOR;;20/11/1997;01/11/2028;;
110570031;25000006111;ACETILESSIN;;25/07/1997;01/07/2002;;
102290015;25992000267;ACETILMETIONINA+ASSCIACOES;;20/12/1999;01/12/2004;;
120330008;25000012702;ACETILSALICILATO DE LISINA;;09/08/2001;01/03/2002;;
100430667;25000003139;ACETILSALIL;;23/07/1999;01/07/2004;;
105350109;25351022971;ACETITOL;;11/04/2001;01/04/2016;;
102940082;25000012093;ACETOFENIDO DE ALGESTONA+ENATATO DE ESTRADIOL;;13/03/2000;01/03/2005;;
102350036;25992008257;ACETOFLUX;;07/05/2001;01/11/2017;;
135690249;25351188455;ACETONIDA DE TRIANCINOLONA;;26/01/2005;01/01/2015;;
154230131;25351051802;ACETONIDA DE TRIANCINOLONA;;29/09/2008;01/09/2028;;
135690258;25351265446;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;24/05/2005;01/05/2015;;
135690265;25351266226;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;24/05/2005;01/05/2015;;
104920156;25351008753;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;04/07/2005;01/07/2010;;
104920157;25351008235;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;04/07/2005;01/07/2010;;
167730214;25351655555;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;07/02/2011;;;
129160047;25351020444;ACETONIDO DE FLUOCINOLONA;;23/04/2002;01/04/2007;;
104450084;25992012168;ACETONIDO DE FLUOCINOLONA + ASSOCIACOES;;29/11/1999;01/10/2004;;
101620221;25351010343;ACETONIDO DE FLUOCINOLONA + NEOMICINA + POLIMIXINA B + LIDOCAÍNA;;13/10/2000;01/10/2005;;
102350526;25351037416;ACETONIDO DE FLUOCINOLONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA ;;25/02/2002;01/02/2012;;
100430779;25351035448;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;;28/01/2002;01/01/2007;;
100430780;25351035449;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;;28/01/2002;01/01/2007;;
102350651;25351050818;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;;21/01/2004;01/01/2029;;
109740011;25992001429;ACETONIDO FLUOCINOLONA + SULFATO NEOMICINA + SULFATO DE POLIMIXINA B;;14/09/2001;01/08/2006;;
103700389;25000035931;ACETONIDO TRIANCINOLONA+AC. SALICILICO+CLORETO DE BENZALCONIO;;03/10/2002;01/09/2007;;
110570047;25000044130;ACETYLEN;;02/12/2004;01/12/2014;;
143810165;25351457119;ACEVITON;;01/09/2014;01/09/2029;;
102980564;25351338698;ACEZO;;30/08/2021;01/08/2031;;
113430148;25351054908;ACEÍNA;;13/08/2007;01/08/2012;;
107150066;25000004047;ACFOL;;04/02/2000;01/10/2028;;
105730341;25351148578;ACHEFLAN;;09/11/2004;01/11/2029;;
105710088;25000022331;ACICLOFAR;;29/04/1998;01/04/2018;;
103900124;25000036364;ACICLOMAX;;21/09/1998;01/09/2003;;
143810023;25000029625;ACICLOMED;;07/05/2001;01/03/2029;;
106890110;25000036245;ACICLOR;;21/10/1999;01/10/2029;;
106890205;25351851846;ACICLOR;;17/05/2021;01/05/2031;;
109220189;25351160812;ACICLOVAN;;26/02/2003;01/02/2008;;
100430606;25000023828;ACICLOVIR;;14/08/1996;01/08/2001;;
123520015;25000020615;ACICLOVIR;;14/08/1996;01/08/2001;;
101160144;25000013468;ACICLOVIR;;30/08/1996;01/08/2001;;
110570027;25000013306;ACICLOVIR;;03/09/1996;01/08/2001;;
100640056;25000009825;ACICLOVIR;;16/09/1996;01/09/2001;;
100630143;25000025168;ACICLOVIR;;23/09/1996;01/09/2001;;
103880032;25000012856;ACICLOVIR;;25/09/1996;01/09/2001;;
124870002;25025001853;ACICLOVIR;;26/11/1996;01/11/2001;;
100490058;25000011276;ACICLOVIR;;30/12/1996;01/12/2001;;
120690012;25025003013;ACICLOVIR;;06/02/1997;01/02/2002;;
105430113;25000011257;ACICLOVIR;;11/03/1997;01/03/2002;;
104300016;25000008026;ACICLOVIR;;24/08/1998;01/08/2003;;
135480018;25000008696;ACICLOVIR;;31/12/1998;01/09/2001;;
119240122;25000002171;ACICLOVIR;;10/05/1999;01/05/2004;;
111240216;25000021090;ACICLOVIR;;09/08/1999;01/08/2004;;
126750006;25000007153;ACICLOVIR;;18/08/1999;01/08/2004;;
103670124;25000021539;ACICLOVIR;;22/11/1999;01/11/2004;;
131040006;25000000580;ACICLOVIR;;31/01/2000;01/02/2005;;
101160171;25351002044;ACICLOVIR;;31/03/2000;01/03/2005;;
103700300;25351005451;ACICLOVIR;;20/04/2000;01/04/2015;;
102350441;25351000223;ACICLOVIR;;02/05/2000;01/04/2020;;
104650301;25351017591;ACICLOVIR;;13/10/2000;01/10/2010;;
102980250;25351015008;ACICLOVIR;;22/11/2000;01/11/2025;;
123520057;25351027604;ACICLOVIR;;22/01/2001;01/01/2026;;
101830090;25000001122;ACICLOVIR;;30/03/2001;01/05/2003;;
100890280;25351014463;ACICLOVIR;;05/11/2001;01/11/2026;;
101810374;25351033855;ACICLOVIR;;06/12/2001;01/12/2016;;
103700147;25000021523;ACICLOVIR;;21/12/2001;01/11/2006;;
120690033;25351032501;ACICLOVIR;;29/04/2002;01/04/2012;;
123520071;25351009882;ACICLOVIR;;24/05/2002;01/05/2007;;
116540022;25000016206;ACICLOVIR;;28/05/2002;01/05/2007;;
146680045;25351037754;ACICLOVIR;;17/06/2002;01/06/2003;;
100470329;25351019006;ACICLOVIR;;19/07/2002;01/07/2027;;
126750017;25351215790;ACICLOVIR;;16/04/2003;01/04/2018;;
125680111;25351001249;ACICLOVIR;;27/07/2004;01/07/2029;;
146680090;25351024060;ACICLOVIR;;11/10/2004;01/10/2009;;
103700486;25351373686;ACICLOVIR;;24/02/2006;01/02/2016;;
126750069;25351338305;ACICLOVIR;;24/03/2006;01/03/2021;;
102940137;25351002110;ACICLOVIR;;24/04/2006;01/04/2011;;
118190065;25351026616;ACICLOVIR;;17/07/2006;01/07/2026;;
100890334;25351273539;ACICLOVIR;;14/08/2006;01/08/2021;;
109680078;25351018943;ACICLOVIR;;23/10/2006;01/10/2011;;
104041990;25351294804;ACICLOVIR;;12/02/2007;01/02/2012;;
102940150;25351001454;ACICLOVIR;;03/09/2007;01/09/2012;;
155840048;25351479732;ACICLOVIR;;01/10/2007;01/10/2017;;
125680163;25351339870;ACICLOVIR;;22/10/2007;01/10/2027;;
105730391;25351365151;ACICLOVIR;;14/06/2010;01/06/2020;;
112130410;25351364503;ACICLOVIR;;14/06/2010;01/06/2020;;
105730392;25351659451;ACICLOVIR;;05/07/2010;01/07/2020;;
112130411;25351659504;ACICLOVIR;;05/07/2010;01/07/2020;;
172870225;25351223661;ACICLOVIR;;10/01/2011;01/10/2015;;
155840068;25351535009;ACICLOVIR;;12/12/2011;01/10/2015;;
103700610;25351390564;ACICLOVIR;;15/12/2014;01/12/2029;;
104970022;25351490397;ACICLOVIR;;11/05/2015;01/05/2020;;
183260160;25351649669;ACICLOVIR;;22/06/2015;01/12/2026;;
183260283;25351091936;ACICLOVIR;;13/03/2017;01/03/2027;;
