NUMERO_REGISTRO_PRODUTO;IDENTIFICADOR_DO_ITEM;NOME_PRODUTO;TIPO_PRODUTO;CATEGORIA_REGULATORIA;CLASSE_TERAPEUTICA
103920172;25351047703;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
156510064;25351185488;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
110330008;25000000698;ACECTIL;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
125680235;25351011547;ACEDILAT;MEDICAMENTO;SIMILAR;BRONCODILATADORES
126750290;25351307380;ACEFLOR;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
105770005;25992021563;ACEMEDROX;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
129160044;25351001393;ACEPONATO DE HIDROCORTISONA;MEDICAMENTO;SIMILAR;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
104400005;25992003403;ACERATUM;MEDICAMENTO;SIMILAR;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA
104041922;25000002519;ACEROGRIP C;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
100430134;25000015741;ACEROL;MEDICAMENTO;SIMILAR;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS
110220006;25351024761;ACEROLITA;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
104042002;25351295915;ACEROLUP C;MEDICAMENTO;ESPECÍFICO;MONOVITAMINAS EXCETO VITAMINA K
172870459;25351513379;ACEROLUP C;MEDICAMENTO;;MONOVITAMINAS EXCETO VITAMINA K
155840387;25351542349;ACEROLUP C;MEDICAMENTO;;MONOVITAMINAS EXCETO VITAMINA K
112780077;25351666271;ACERTALIX;MEDICAMENTO;NOVO;ANTI-HIPERTENSIVOS
112780075;25351118802;ACERTANLO;MEDICAMENTO;NOVO;ANTI-HIPERTENSIVOS
112780074;25351047692;ACERTIL;MEDICAMENTO;NOVO;ANTI-HIPERTENSIVOS
164000001;25351407134;ACESYL;MEDICAMENTO;ESPECÍFICO;VITAMINAS E SUPLEMENTOS MINERAIS
102940115;25000019722;ACETAMIL;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
115200017;25000014109;ACETAMOL;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
113430031;25001005788;ACETAN;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
100431245;25351368629;ACETATO DE ABIRATERONA;MEDICAMENTO;GENÉRICO;ANTINEOPLASICO
108170063;25000018167;ACETATO DE ALFA DL TOCOFEROL;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
104650316;25351029160;ACETATO DE CIPROTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
143170001;25351014940;ACETATO DE CIPROTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
104971386;25351416397;ACETATO DE CIPROTERONA;MEDICAMENTO;GENÉRICO;PROGESTAGENOS SIMPLES
106460069;25000027797;ACETATO DE CIPROTERONA + ETINILESTRADIOL;MEDICAMENTO;SIMILAR;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS
100470566;25351518128;ACETATO DE CIPROTERONA + ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;PRODUTOS ANTI-ACNE
155840400;25351703022;ACETATO DE CIPROTERONA+ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
155890004;25351527182;ACETATO DE CIPROTERONA+ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
177940029;25351056403;ACETATO DE CIPROTERONA+ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ANDROGENOS SIMPLES
126750408;25351576153;ACETATO DE CLORMADINONA + ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ANTICONCEPCIONAIS
167730674;25351578918;ACETATO DE CLORMADINONA + ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ANTICONCEPCIONAIS
105831005;25351578919;ACETATO DE CLORMADINONA + ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ANTICONCEPCIONAIS
113001134;25351812020;ACETATO DE CLORMADINONA+ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ANTICONCEPCIONAIS
101810637;25351789728;ACETATO DE CLORMADINONA+ETINILESTRADIOL;MEDICAMENTO;GENÉRICO;ANTICONCEPCIONAIS
183260041;25351697694;ACETATO DE CLORMADINONA+ETINILESTRADIOL;MEDICAMENTO;;ANTICONCEPCIONAIS
101810534;25351438341;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;MEDICAMENTO;GENÉRICO;CERATOLITICOS E CERATOPLASTICOS
101810535;25351438431;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;MEDICAMENTO;GENÉRICO;CERATOLITICOS E CERATOPLASTICOS
183260226;25351096058;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;MEDICAMENTO;GENÉRICO;CERATOLITICOS E CERATOPLASTICOS
183260255;25351679847;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;MEDICAMENTO;GENÉRICO;CERATOLITICOS E CERATOPLASTICOS
125740026;25000055573;ACETATO DE DEXAMETASONA;MEDICAMENTO;SIMILAR;HORMONIOS CORTICOSTEROIDES
102270032;25000020905;ACETATO DE DEXAMETASONA;MEDICAMENTO;SIMILAR;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
125680126;25351045969;ACETATO DE DEXAMETASONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
104971334;25351072733;ACETATO DE DEXAMETASONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
102350848;25351486639;ACETATO DE DEXAMETASONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
105830544;25351482857;ACETATO DE DEXAMETASONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
135690424;25351485203;ACETATO DE DEXAMETASONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
118190173;25351725563;ACETATO DE DEXAMETASONA;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
105750050;25000054493;ACETATO DE DEXAMETASONA + VITAMINAS;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS ANTIREUMATICOS
112330014;25000011195;ACETATO DE DEXAMETAZONA;MEDICAMENTO;SIMILAR;GLICOCORTICOIDES SISTEMICOS
124510035;25000045356;ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
137950013;25000011472;ACETATO DE DL ALFA TOCOFERIL;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
101750007;25000005716;ACETATO DE DL ALFA TOCOFERILA;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
100930193;25000035176;ACETATO DE EPTIFIBATIDE;MEDICAMENTO;NOVO;ANTITROMBOTICO
100330033;25001024023;ACETATO DE GUANABENZO;MEDICAMENTO;SIMILAR;ANTI-HIPERTENSIVOS SIMPLES
107150155;25004021124;ACETATO DE HIDROCORTISONA;MEDICAMENTO;SIMILAR;ANTI-FLOGISTICO E ANTI-PRURIGINOSO
118610123;25351176205;ACETATO DE HIDROCORTISONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
118610236;25351164076;ACETATO DE HIDROCORTISONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
104971333;25351070308;ACETATO DE HIDROCORTISONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
111240215;25000033541;ACETATO DE LEUPROLIDE;MEDICAMENTO;SIMILAR;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
100640055;25000009817;ACETATO DE MEDROXIPROGESTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
100430623;25000003281;ACETATO DE MEDROXIPROGESTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
105730243;25000040097;ACETATO DE MEDROXIPROGESTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
104400012;25992005051;ACETATO DE MEDROXIPROGESTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
104970001;25001012501;ACETATO DE MEDROXIPROGESTERONA;MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
101710087;25000016403;ACETATO DE MEDROXIPROGESTERONA];MEDICAMENTO;SIMILAR;PROGESTAGENOS SIMPLES
120690014;25025006184;ACETATO DE MEGESTROL;MEDICAMENTO;SIMILAR;ANTINEOPLASICO
121170138;25351029658;ACETATO DE MEGESTROL;MEDICAMENTO;GENÉRICO;ANTINEOPLASICO
122140058;25000013113;ACETATO DE MEGESTROL;MEDICAMENTO;SIMILAR;ANTINEOPLASICO
150820048;25351191462;ACETATO DE MEGESTROL;MEDICAMENTO;;ANTINEOPLASICO
102160073;25351027083;ACETATO DE NORETINDRONA + ETINILESTRADIOL;MEDICAMENTO;NOVO;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
102160077;25351011738;ACETATO DE NORETINDRONA + ETINILESTRADIOL/ FUMARATO FERROSO;MEDICAMENTO;NOVO;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
100850027;25992008702;ACETATO DE POTASSIO;MEDICAMENTO;SIMILAR;ELETROLITOS SIMPLES
100230247;25351038534;ACETATO DE PREDNISOLONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
154230190;25351735051;ACETATO DE PREDNISOLONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
100681091;25351662812;ACETATO DE PREDNISOLONA;MEDICAMENTO;GENÉRICO;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
102680084;25017016961;ACETATO DE RETINOL;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
137950011;25000011302;ACETATO DE RETINOL;MEDICAMENTO;NOVO;MONOVITAMINAS EXCETO VITAMINA K
135480052;25000008199;ACETATO DE RETINOL (50.000 UI);MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
123890062;25000014371;ACETATO DE RETINOL + ASSOCIADOS;MEDICAMENTO;NOVO;POLIVITAMINICOS COM MINERAIS
145330008;25351010569;ACETATO DE RETINOL + ASSOCIAÇÕES;MEDICAMENTO;SIMILAR;POLIVITAMINICOS COM MINERAIS
123890069;25000021111;ACETATO DE RETINOL + ASSOSSIACAO;MEDICAMENTO;SIMILAR;POLIVITAMINICOS SEM MINERAIS
103920103;25000018424;ACETATO DE RETINOL + COLECALCIFEROL;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
129820003;25000013501;ACETATO DE RETINOL E BETACAROTENO;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
100850028;25992008703;ACETATO DE SODIO;MEDICAMENTO;SIMILAR;ELETROLITOS SIMPLES
107040010;25000009705;ACETATO DE SODIO + ASSOCIAÇOES;MEDICAMENTO;SIMILAR;PRODUTOS PARA HEMODIALISE
101620093;25991013871;ACETATO DE SÓDIO;MEDICAMENTO;SIMILAR;ELETROLITOS SIMPLES
164000004;25351722910;ACETATO DE SÓDIO;MEDICAMENTO;ESPECÍFICO;ELETROLITOS SIMPLES
104670114;25000013382;ACETATO DE TOCOFEROL;MEDICAMENTO;SIMILAR;POLIVITAMINICOS COM MINERAIS
139020011;25000015596;ACETATO DE TOCOFEROL;MEDICAMENTO;SIMILAR;MONOVITAMINAS EXCETO VITAMINA K
105730204;25991012168;ACETATO DE TOCOFEROL + ÁCIDO ASCÓRBICO + BETACAROTENO + SELÊNIO;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
100850029;25992008704;ACETATO DE ZINCO B.BRAUN;MEDICAMENTO;SIMILAR;ELETROLITOS SIMPLES
125740027;25351029920;ACETATO RETINOL + CLORIDRATO TIAMINA + ASSOCIAÇÕES;MEDICAMENTO;SIMILAR;POLIVITAMINICOS COM MINERAIS
101180136;25000006599;ACETAZOLAMIDA;MEDICAMENTO;SIMILAR;DIURETICOS
102350413;25000005067;ACETAZOLAMIDA;MEDICAMENTO;SIMILAR;DIURETICOS
109630046;25000038786;ACETAZONA;MEDICAMENTO;SIMILAR;GLICOCORTICOIDES SISTEMICOS
107150069;25000004046;ACETICIL;MEDICAMENTO;SIMILAR;ANALGESICOS
110860017;25000021196;ACETILASA;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
