NUMERO_REGISTRO_PRODUTO;IDENTIFICADOR_DO_ITEM;NOME_PRODUTO;DATA_DE_CONSUMO;QUANTIDADE
124510035;25000045356;ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO;;
137950013;25000011472;ACETATO DE DL ALFA TOCOFERIL;;
101750007;25000005716;ACETATO DE DL ALFA TOCOFERILA;;
100930193;25000035176;ACETATO DE EPTIFIBATIDE;;
100330033;25001024023;ACETATO DE GUANABENZO;;
107150155;25004021124;ACETATO DE HIDROCORTISONA;;
118610123;25351176205;ACETATO DE HIDROCORTISONA;;
118610236;25351164076;ACETATO DE HIDROCORTISONA;;
104971333;25351070308;ACETATO DE HIDROCORTISONA;;
111240215;25000033541;ACETATO DE LEUPROLIDE;;
100640055;25000009817;ACETATO DE MEDROXIPROGESTERONA;;
100430623;25000003281;ACETATO DE MEDROXIPROGESTERONA;;
105730243;25000040097;ACETATO DE MEDROXIPROGESTERONA;;
104400012;25992005051;ACETATO DE MEDROXIPROGESTERONA;;
104970001;25001012501;ACETATO DE MEDROXIPROGESTERONA;;
101710087;25000016403;ACETATO DE MEDROXIPROGESTERONA];;
120690014;25025006184;ACETATO DE MEGESTROL;;
121170138;25351029658;ACETATO DE MEGESTROL;;
122140058;25000013113;ACETATO DE MEGESTROL;;
150820048;25351191462;ACETATO DE MEGESTROL;;
102160073;25351027083;ACETATO DE NORETINDRONA + ETINILESTRADIOL;;
102160077;25351011738;ACETATO DE NORETINDRONA + ETINILESTRADIOL/ FUMARATO FERROSO;;
100850027;25992008702;ACETATO DE POTASSIO;;
100230247;25351038534;ACETATO DE PREDNISOLONA;;
154230190;25351735051;ACETATO DE PREDNISOLONA;;
100681091;25351662812;ACETATO DE PREDNISOLONA;;
102680084;25017016961;ACETATO DE RETINOL;;
137950011;25000011302;ACETATO DE RETINOL;;
135480052;25000008199;ACETATO DE RETINOL (50.000 UI);;
123890062;25000014371;ACETATO DE RETINOL + ASSOCIADOS;;
145330008;25351010569;ACETATO DE RETINOL + ASSOCIAÇÕES;;
123890069;25000021111;ACETATO DE RETINOL + ASSOSSIACAO;;
103920103;25000018424;ACETATO DE RETINOL + COLECALCIFEROL;;
129820003;25000013501;ACETATO DE RETINOL E BETACAROTENO;;
100850028;25992008703;ACETATO DE SODIO;;
107040010;25000009705;ACETATO DE SODIO + ASSOCIAÇOES;;
101620093;25991013871;ACETATO DE SÓDIO;;
164000004;25351722910;ACETATO DE SÓDIO;;
104670114;25000013382;ACETATO DE TOCOFEROL;;
139020011;25000015596;ACETATO DE TOCOFEROL;;
105730204;25991012168;ACETATO DE TOCOFEROL + ÁCIDO ASCÓRBICO + BETACAROTENO + SELÊNIO;;
100850029;25992008704;ACETATO DE ZINCO B.BRAUN;;
125740027;25351029920;ACETATO RETINOL + CLORIDRATO TIAMINA + ASSOCIAÇÕES;;
101180136;25000006599;ACETAZOLAMIDA;;
102350413;25000005067;ACETAZOLAMIDA;;
109630046;25000038786;ACETAZONA;;
107150069;25000004046;ACETICIL;;
110860017;25000021196;ACETILASA;;
100430761;25351026186;ACETILCISTEINA;;
100430772;25351032353;ACETILCISTEINA;;
100840164;25351037987;ACETILCISTEINA;;
102350630;25351025919;ACETILCISTEINA;;
105830286;25351026281;ACETILCISTEINA;;
101810501;25351233614;ACETILCISTEINA;;
155840519;25351663290;ACETILCISTEINA;;
112130486;25351262622;ACETILCISTEINA;;
105730648;25351856205;ACETILCISTEINA;;
125680100;25351025540;ACETILCISTEÍNA;;
102350631;25351025872;ACETILCISTEÍNA;;
105830289;25351026277;ACETILCISTEÍNA;;
135690264;25351264113;ACETILCISTEÍNA;;
135690259;25351263528;ACETILCISTEÍNA;;
125680127;25351043353;ACETILCISTEÍNA;;
103940512;25351043170;ACETILCISTEÍNA;;
155840044;25351372867;ACETILCISTEÍNA;;
154230108;25351100546;ACETILCISTEÍNA;;
167730211;25351644559;ACETILCISTEÍNA;;
167730222;25351644568;ACETILCISTEÍNA;;
109630036;25000015265;ACETILDOR;;
110570031;25000006111;ACETILESSIN;;
102290015;25992000267;ACETILMETIONINA+ASSCIACOES;;
120330008;25000012702;ACETILSALICILATO DE LISINA;;
100430667;25000003139;ACETILSALIL;;
105350109;25351022971;ACETITOL;;
102940082;25000012093;ACETOFENIDO DE ALGESTONA+ENATATO DE ESTRADIOL;;
102350036;25992008257;ACETOFLUX;;
135690249;25351188455;ACETONIDA DE TRIANCINOLONA;;
154230131;25351051802;ACETONIDA DE TRIANCINOLONA;;
135690258;25351265446;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;
135690265;25351266226;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;
104920156;25351008753;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;
104920157;25351008235;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;
167730214;25351655555;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;;
129160047;25351020444;ACETONIDO DE FLUOCINOLONA;;
104450084;25992012168;ACETONIDO DE FLUOCINOLONA + ASSOCIACOES;;
101620221;25351010343;ACETONIDO DE FLUOCINOLONA + NEOMICINA + POLIMIXINA B + LIDOCAÍNA;;
102350526;25351037416;ACETONIDO DE FLUOCINOLONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA ;;
100430779;25351035448;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;;
100430780;25351035449;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;;
102350651;25351050818;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;;
109740011;25992001429;ACETONIDO FLUOCINOLONA + SULFATO NEOMICINA + SULFATO DE POLIMIXINA B;;
103700389;25000035931;ACETONIDO TRIANCINOLONA+AC. SALICILICO+CLORETO DE BENZALCONIO;;
110570047;25000044130;ACETYLEN;;
143810165;25351457119;ACEVITON;;
102980564;25351338698;ACEZO;;
113430148;25351054908;ACEÍNA;;
107150066;25000004047;ACFOL;;
105730341;25351148578;ACHEFLAN;;
105710088;25000022331;ACICLOFAR;;
103900124;25000036364;ACICLOMAX;;
143810023;25000029625;ACICLOMED;;
106890110;25000036245;ACICLOR;;
106890205;25351851846;ACICLOR;;
109220189;25351160812;ACICLOVAN;;
100430606;25000023828;ACICLOVIR;;
123520015;25000020615;ACICLOVIR;;
101160144;25000013468;ACICLOVIR;;
110570027;25000013306;ACICLOVIR;;
100640056;25000009825;ACICLOVIR;;
100630143;25000025168;ACICLOVIR;;
103880032;25000012856;ACICLOVIR;;
124870002;25025001853;ACICLOVIR;;
100490058;25000011276;ACICLOVIR;;
120690012;25025003013;ACICLOVIR;;
105430113;25000011257;ACICLOVIR;;
104300016;25000008026;ACICLOVIR;;
135480018;25000008696;ACICLOVIR;;
119240122;25000002171;ACICLOVIR;;
111240216;25000021090;ACICLOVIR;;
126750006;25000007153;ACICLOVIR;;
103670124;25000021539;ACICLOVIR;;
131040006;25000000580;ACICLOVIR;;
101160171;25351002044;ACICLOVIR;;
103700300;25351005451;ACICLOVIR;;
102350441;25351000223;ACICLOVIR;;
104650301;25351017591;ACICLOVIR;;
102980250;25351015008;ACICLOVIR;;
123520057;25351027604;ACICLOVIR;;
101830090;25000001122;ACICLOVIR;;
100890280;25351014463;ACICLOVIR;;
101810374;25351033855;ACICLOVIR;;
103700147;25000021523;ACICLOVIR;;
120690033;25351032501;ACICLOVIR;;
123520071;25351009882;ACICLOVIR;;
116540022;25000016206;ACICLOVIR;;
146680045;25351037754;ACICLOVIR;;
100470329;25351019006;ACICLOVIR;;
126750017;25351215790;ACICLOVIR;;
125680111;25351001249;ACICLOVIR;;
146680090;25351024060;ACICLOVIR;;
103700486;25351373686;ACICLOVIR;;
126750069;25351338305;ACICLOVIR;;
102940137;25351002110;ACICLOVIR;;
118190065;25351026616;ACICLOVIR;;
100890334;25351273539;ACICLOVIR;;
109680078;25351018943;ACICLOVIR;;
104041990;25351294804;ACICLOVIR;;
102940150;25351001454;ACICLOVIR;;
155840048;25351479732;ACICLOVIR;;
125680163;25351339870;ACICLOVIR;;
105730391;25351365151;ACICLOVIR;;
112130410;25351364503;ACICLOVIR;;
105730392;25351659451;ACICLOVIR;;
112130411;25351659504;ACICLOVIR;;
172870225;25351223661;ACICLOVIR;;
155840068;25351535009;ACICLOVIR;;
103700610;25351390564;ACICLOVIR;;
104970022;25351490397;ACICLOVIR;;
183260160;25351649669;ACICLOVIR;;
183260283;25351091936;ACICLOVIR;;
104971416;25351655883;ACICLOVIR;;
105730556;25351689341;ACICLOVIR;;
105730568;25351691204;ACICLOVIR;;
100430748;25351008676;ACICLOVIR 250 MG;;
105530226;25000005263;ACICLOVIR SODICO;;
108970032;25351202083;ACIDALIC;;
107140187;25000040857;ACIDERM;;
109220102;25001006415;ACIDEX;;
109220161;25351008532;ACIDEX;;
127020018;25000006023;ACIDO ACELTILSALICILICO;;
103110046;25000009973;ACIDO ACETIL SALICILICO;;
128540001;25000003733;ACIDO ACETIL SALICILICO;;
112830042;25000002501;ACIDO ACETIL SALICILICO;;
131960004;25000004889;ACIDO ACETIL SALICILICO;;
102270028;25000020680;ACIDO ACETIL SALICILICO;;
102680632;25000013067;ACIDO ACETIL SALICILICO;;
128540002;25000003734;ACIDO ACETIL SALICILICO TAMPONADO;;
112330012;25000022778;ACIDO ACETILSALICILICO;;
103880026;25000009468;ACIDO ACETILSALICILICO;;
102030043;25000000275;ACIDO ACETILSALICILICO;;
125680012;25000009201;ACIDO ACETILSALICILICO;;
122020001;25023150108;ACIDO ACETILSALICILICO;;
112200002;25000022209;ACIDO ACETILSALICILICO;;
135480024;25992005981;ACIDO ACETILSALICILICO;;
105760091;25000007072;ACIDO ACETILSALICILICO;;
116070011;25992003876;ACIDO ACETILSALICILICO;;
134890005;25000019001;ACIDO ACETILSALICILICO;;
105110008;25023000056;ACIDO ACETILSALICILICO;;
110500029;25351025520;ACIDO ACETILSALICILICO;;
107140060;25001006771;ACIDO ACETILSALICILICO;;
110500031;25351025521;ACIDO ACETILSALICILICO;;
139330005;25351029223;ACIDO ACETILSALICILICO;;
102350508;25351007423;ACIDO ACETILSALICILICO;;
105350087;25000001567;ACIDO ACETILSALICILICO;;
103940003;25992021051;ACIDO ACETILSALICILICO;;
134690001;25016001023;ACIDO ACETILSALICILICO;;
135690533;25351000427;ACIDO ACETILSALICILICO;;
120190124;25351020247;ACIDO ACETILSALICILICO;;
125210016;25001016017;ACIDO ACETILSALICILICO + ASSOCIACOES;;
103700227;25000011097;ACIDO ACETILSALICILICO + BICARBONATO DE SODIO;;
106460093;25000025244;ACIDO ACETILSALICILICO ASSOCIADO;;
102030048;25000033192;ACIDO ACETILSALICILICO ASSOCIADO;;
120330007;25000013114;ACIDO ACETILSALICILICO DE LISINA;;
113430057;25992003408;ACIDO AMINOACETICO + ASSOCIACOES;;
101830014;25019000149;ACIDO ASCORBICO;;
110860002;25000026152;ACIDO ASCORBICO;;
102030049;25000000274;ACIDO ASCORBICO;;
135480032;25000012615;ACIDO ASCORBICO;;
100630080;25991015987;ACIDO ASCORBICO;;
101860026;25001004242;ACIDO ASCORBICO;;
113430005;25992016832;ACIDO ASCORBICO;;
106890068;25001007829;ACIDO ASCORBICO;;
100020069;25000015803;ACIDO ASCORBICO + ALFA-TOCOFEROL + BETACAROTENO + MINERAIS;;
101550207;25000020166;ACIDO ASCORBICO + ASSOC;;
104400023;25992018247;ACIDO ASCORBICO + ASSOC.;;
127020029;25000016398;ACIDO ASCORBICO + ASSOCIAÇÕES;;
127000002;25023000269;ACIDO ASCORBICO + ASSOCIAÇÕES;;
139330016;25351008545;ACIDO ASCORBICO + NIACINA + ASSOC. POLIVITAMINAS;;
102850050;25001006492;ACIDO ASCORBICO + PARACETAMOL + CLORIDRATO DE FENILEFRINA;;
127020023;25000013076;ACIDO ASCORBICO+COMPLEXO B;;
116540003;25000015061;ACIDO ASCÓRBICO;;
126250023;25000027815;ACIDO BENZOICO + ASSOCIAÇÕES;;
115700008;25000016646;ACIDO BENZOICO + IODETO DE POTASSIO +IODO;;
106890042;25001009994;ACIDO BENZOICO/IODO/IODETO DE POTASSIO;;
101430025;25992015818;ACIDO DEHIDROCOLICO + CLORETO DE COLINA + GLICOCOLA;;
103740008;25000014298;ACIDO DEHIDROCOLICO+EXTRATO FITOTERAPICOS+FOSFATO SODIO;;
126940006;25000004474;ACIDO DIMERCAPTOSSUCCINICO;;
113980022;25000012182;ACIDO DIMERCAPTOSUCCINICO;;
104340029;25000033781;ACIDO FOLICO;;
136700014;25000020023;ACIDO FOLICO;;
100430605;25000005892;ACIDO FOLICO - EUROFARMA;;
100470002;25000013637;ACIDO FOLINICO;;
108580212;25000000950;ACIDO FOLINICO;;
107150156;25000013789;ACIDO FOLINICO;;
109640001;25992001631;ACIDO FÊNICO;;
105830201;25992009472;ACIDO L-GLUTAMICO + FENITOINA;;
100470531;25351669327;ACIDO MEFENAMICO;;
100431303;25351415062;ACIDO MEFENAMICO;;
135170062;25351330137;ACIDO MEFENAMICO;;
121550010;25000000377;ACIDO NALIDIXICO;;
108580177;25000004274;ACIDO NALIDIXICO;;
102350509;25000001811;ACIDO NALIDIXICO;;
105190031;25001008115;ACIDO ORTO-FENOLSULFONICO + RESORCINOL;;
100930159;25001026796;ACIDO SALICILICO;;
106750061;25000023090;ACIDO SALICILICO;;
149910002;25351005867;ACIDO SALICILICO;;
105190035;25001018732;ACIDO SALICILICO + AC. BENZOICO + IODO MET. + IODETO  DE SODIO;;
101620199;25000025591;ACIDO SALICILICO + ACIDO LATICO;;
101910118;25992000790;ACIDO SALICILICO + CLORETO DE ZINCO;;
105070015;25992000204;ACIDO TANICO+CANFORA+AMONIA+ETER ETILICO;;
105830698;25351124596;ACIDO TRANEXAMICO;;
167730151;25351125006;ACIDO TRANEXAMICO;;
189000046;25351480176;ACIDO TRANEXAMICO;;
116370099;25351323698;ACIDO TRANEXAMICO;;
115200027;25000004457;ACIDO UNDECILENICO  +  ASSOCIAÇOES;;
146680018;25351039244;ACIDO VALPROICO;;
116370129;25351194444;ACIDO ZOLEDRONICO;;
100470541;25351393233;ACIDO ZOLEDRONICO;;
102980415;25351572082;ACIDO ZOLEDRONICO;;
155620038;25351469106;ACIDO ZOLEDRONICO;;
109740191;25351221587;ACINIC;;
105770139;25000023433;ACIVERAL;;
115600082;25000009244;ACIVIRAX;;
103850115;25351191156;ACLAF;;
103850116;25351191169;ACLAF;;
100681026;25351264883;ACLASTA;;
101740001;25991008795;ACNASE;;
109740239;25351314228;ACNASE;;
101740046;25000020869;ACNASE GEL;;
102980329;25351016946;ACNIL;;
103700369;25000035809;ACNISON;;
105830731;25351344939;ACNOVA;;
105830844;25351546841;ACNOVA;;
105250085;25351230018;ACOG;;
101910166;25992010178;ACOLITIUM;;
113000983;25351274914;ACOMPLIA;;
112130190;25000020257;ACONVULSIN;;
108580055;25991013017;ACOTERMON;;
105830531;25991004153;ACRIDIN;;
101500050;25000007641;ACTI-VALDA;;
103410001;25000016722;ACTICALCIN;;
149160012;25001006817;ACTIFEDRIN;;
103900155;25351016602;ACTIFEDRIN;;
103670049;25001003007;ACTILYSE;;
119240013;25001006140;ACTIPROFEN;;
120330261;25351053556;ACTIPROFEN;;
113000996;25351452506;ACTIPROFEN;;
111990031;25351411851;ACTIVE PLUS;;
101810344;25351008035;ACTIVELLE;;
100431042;25351532787;ACTIVELLE;;
113000269;25000011296;ACTONEL;;
183260417;25351627327;ACTONEL;;
174650009;25351591197;ACTONEL;;
113001070;25351301574;ACTONEL TRIO;;
105530238;25000045938;ACTOS;;
105530335;25351321308;ACTOS  MET;;
106460111;25000040854;ACTPARIN;;
154230230;25351014464;ACU FRESH;;
154230322;25351548553;ACU FRESH G;;
101470046;25000014937;ACULAR;;
109860026;25000020612;ACYCLO;;
135690493;25351150816;AD - CÁLCIO;;
110390022;25001009271;AD FURP;;
106390150;25992008143;AD TIL;;
101620181;25000004247;AD-ELEMENT;;
109740172;25351217831;AD-MUC;;
106390243;25351267568;AD-TIL;;
178170914;25351109985;AD-TIL;;
138410065;25351010447;AD-VITAM;;
113001140;25351635032;ADACEL;;
183260400;25351412010;ADACEL;;
113001110;25351096482;ADACEL Polio;;
183260399;25351412006;ADACEL Polio;;
110130230;25351126287;ADACNE;;
110130249;25351351901;ADACNE CLIN;;
109860027;25351000144;ADACOR;;
104290001;25992006708;ADALAT;;
170560052;25351211427;ADALAT;;
109220168;25351160780;ADALEX;;
112130355;25351280170;ADAPALENO;;
102350748;25351040577;ADAPALENO;;
105830422;25351040630;ADAPALENO;;
135690286;25351030580;ADAPALENO;;
135690287;25351040521;ADAPALENO;;
102350749;25351030535;ADAPALENO;;
101810529;25351343521;ADAPALENO;;
167730154;25351644959;ADAPALENO;;
183260039;25351688711;ADAPALENO;;
101810576;25351092303;ADAPEL;;
183260033;25351688741;ADAPEL;;
104400212;25351578803;ADAPTA;;
167730625;25351595392;ADAPTIS GEL;;
106390269;25351058806;ADCETRIS;;
112600184;25351578546;ADCIRCA;;
100410165;25351325190;ADDAVEN;;
103940544;25351204312;ADDERA D3;;
172870060;25351334518;ADDERA D3;;
178170028;25351651342;ADDERA D3;;
110860029;25000016017;ADDITIVA VITAMINA C;;
122140023;25000041757;ADECUR;;
102350169;25992012650;ADEDERME;;
108580162;25000004222;ADEDOIS;;
104440001;25992002835;ADEFORTE;;
104440113;25351447831;ADEFORTE;;
100320001;25000007889;ADEGLÓS;;
109220064;25992018277;ADEGRIP;;
125760013;25351008852;ADEKS;;
194270039;25351667712;ADELLE 20;;
194270040;25351667719;ADELLE 30;;
101160077;25992031285;ADEMETIONINA;;
100330038;25001026983;ADENOCARD;;
100610007;25992022964;ADENON;;
115700022;25000020458;ADENOSIA+ASSOCIAÇÕES;;
113430182;25351669437;ADENOSINA;;
104450016;25004010171;ADENOSINA + ASSOCIAÇÕES;;
122830094;25992018079;ADENOSINA+ASSOCIAÇÕES;;
118190038;25351001295;ADEPRESS;;
113000211;25992007407;ADEROGIL D3;;
113000980;25351446671;ADEROGIL GOTAS;;
100580084;25000010259;ADEXIL;;
113050029;25000004137;ADFEN;;
102351223;25351864707;ADILOZ;;
105730378;25351825989;ADINOS;;
105730407;25351163689;ADINOS GEN;;
105730462;25351278967;ADIPEPT;;
105770150;25000016185;ADIPINA;;
141070637;25351532892;ADLYV;;
113001200;25351544011;ADMELOG;;
183260412;25351627305;ADMELOG;;
146820047;25351477012;ADMENTA;;
102640011;25001010145;ADNASAL;;
122830031;25000023582;ADNAX;;
122830006;25001001224;ADNAX;;
172870034;25351140084;ADNAX;;
178170041;25351645893;ADNAX;;
103900140;25351038262;ADOLESS;;
186100017;25351559471;ADORLAN;;
115570040;25000021641;ADPREX;;
